Settlement,Raw Sugar,Crude Oil,Wheat,Corn,Arabica Coffee,Gold,Soybean,Dow Jone,RBOB Gasoline,Specs Net Long,Line(QBRL=),Line(QTHB=),Line(QINR=),Line(Q.DXY),Line(QAUD=)
Timestamp,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,Trade Close,,ค่าเงินบราซิล,ค่าเงินไทย,ค่าเงินอินเดีย, Dollar Index,ค่าเงินออสเตรเลีย
3/1/2017,20.51,52.33,414,355.75,137.4,1160.4,986.75,19881.76,1.6218,160082,3.2644,35.92,68.25,103.21,0.7224
4/1/2017,20.89,53.26,426.5,359.75,141.8,1163.8,1006.25,19942.16,1.65,198107,3.216,35.81,67.88,102.7,0.7283
5/1/2017,20.78,53.76,434.5,361.25,143.75,1179.7,1003.5,19899.29,1.64,180977,3.1988,35.67,67.73,101.52,0.7336
6/1/2017,20.75,53.99,433.5,358,142.85,1171.9,986,19963.8,1.63,176738,3.2239,35.72,68.09,102.22,0.7291
9/1/2017,20.42,51.96,438.5,360,144.2,1183.5,996.5,19887.38,1.57,208211,3.1967,35.64,68.09,101.93,0.7352
10/1/2017,20.48,50.82,438.25,358.25,147.7,1184.2,1005.5,19855.53,1.55,212384,3.1955,35.54,68.32,102.01,0.7367
11/1/2017,20.56,52.25,431.75,357.25,149,1195.6,1003,19954.28,1.59,217808,3.1965,35.44,68.26,101.78,0.744
12/1/2017,20.76,53.01,444.75,358.25,149.6,1198.9,1032,19891,1.61,191830,3.1878,35.36,68.13,101.35,0.7482
13/1/2017,20.52,52.37,449,358.5,149.3,1195.3,1042.5,19885.73,1.61,212219,3.2205,35.42,68.16,101.18,0.7499
16/1/2017,20.52,52.37,449,358.5,149.3,1195.3,1042.5,19885.73,1.61,201021,3.2415,35.41,68.09,101.18,0.7475
17/1/2017,20.73,52.48,452,365.5,149.9,1212,1069.25,19826.77,1.60,190543,3.2113,35.27,67.85,100.33,0.7566
18/1/2017,20.98,51.08,452.25,365,149.2,1211.3,1075,19804.72,1.55,158980,3.2307,35.42,68.21,100.93,0.7505
19/1/2017,20.18,51.37,442.25,366.25,150.75,1200.9,1070.25,19732.4,1.5345,197972,3.196,35.37,68.09,101.15,0.7558
20/1/2017,20.18,52.42,443,369.75,153.2,1204.3,1067.5,19827.25,1.566,149122,3.1685,35.39,68.05,100.74,0.7553
23/1/2017,20.64,52.75,444.75,369.5,155.4,1215,1057.75,19799.85,1.5667,73666,3.1628,35.24,68.04,100.16,0.7579
24/1/2017,20.58,53.18,441.75,363.25,152.35,1210.3,1058.5,19912.71,1.5759,43359,3.1697,35.23,68.13,100.35,0.7578
25/1/2017,20.34,52.75,437.75,366.25,152.9,1197.3,1055.25,20068.51,1.5238,27388,3.1697,35.21,67.98,100.03,0.757
